"","Gene Symbol","Representative miRNA"
"142980","ADAM28","hsa-miR-105-5p"
"142981","ADAM28","hsa-miR-335-5p"
"142982","ADAM28","hsa-miR-6830-5p"
"142983","ADAM28","hsa-miR-4761-5p"
"142984","ADAM28","hsa-miR-6513-3p"
"142985","ADAM28","hsa-miR-95-5p"
"142986","ADAM28","hsa-miR-16-2-3p"
"142987","ADAM28","hsa-miR-4275"
"142988","ADAM28","hsa-miR-4457"
"142989","ADAM28","hsa-miR-125b-2-3p"
"142990","ADAM28","hsa-miR-4717-3p"
"142991","ADAM28","hsa-miR-1226-3p"
"142992","ADAM28","hsa-miR-4733-3p"
"142993","ADAM28","hsa-miR-500b-3p"
"142994","ADAM28","hsa-miR-6760-3p"
"142995","ADAM28","hsa-miR-1208"
"142996","ADAM28","hsa-miR-3919"
"142997","ADAM28","hsa-miR-4756-3p"
"142998","ADAM28","hsa-miR-759"
"142999","ADAM28","hsa-miR-1245b-3p"
"143000","ADAM28","hsa-miR-545-3p"
"143001","ADAM28","hsa-miR-5690"
"143002","ADAM28","hsa-miR-1207-3p"
"143003","ADAM28","hsa-miR-4459"
"143004","ADAM28","hsa-miR-4742-5p"
"143005","ADAM28","hsa-miR-6715b-5p"
"143006","ADAM28","hsa-miR-4514"
"143007","ADAM28","hsa-miR-4650-5p"
"143008","ADAM28","hsa-miR-211-3p"
"143009","ADAM28","hsa-miR-4441"
"143010","ADAM28","hsa-miR-6798-5p"
"143011","ADAM28","hsa-miR-6823-5p"
"143012","ADAM28","hsa-miR-125a-3p"
"143013","ADAM28","hsa-miR-764"
"143014","ADAM28","hsa-miR-3934-5p"
"143015","ADAM28","hsa-miR-16-1-3p"
"143016","ADAM28","hsa-miR-4704-3p"
"143017","ADAM28","hsa-miR-5693"
"143018","ADAM28","hsa-miR-194-3p"
"143019","ADAM28","hsa-miR-584-3p"
"143020","ADAM28","hsa-miR-4277"
"143021","ADAM28","hsa-miR-4328"
"143022","ADAM28","hsa-miR-6729-3p"
"143023","ADAM28","hsa-miR-5196-3p"
"143024","ADAM28","hsa-miR-8060"
"143025","ADAM28","hsa-miR-3607-5p"
"143026","ADAM28","hsa-miR-4528"
"143027","ADAM28","hsa-miR-4289"
"143028","ADAM28","hsa-miR-4729"
"143029","ADAM28","hsa-miR-1250-3p"
"143030","ADAM28","hsa-miR-153-5p"
"143031","ADAM28","hsa-miR-3691-3p"
"143032","ADAM28","hsa-miR-323b-3p"
"143033","ADAM28","hsa-miR-6777-3p"
"143034","ADAM28","hsa-miR-1273g-3p"
"143035","ADAM28","hsa-miR-488-5p"
"143036","ADAM28","hsa-miR-4530"
"143037","ADAM28","hsa-miR-665"
"143038","ADAM28","hsa-miR-6884-3p"
"143039","ADAM28","hsa-miR-6872-3p"
"143040","ADAM28","hsa-miR-186-3p"
"143041","ADAM28","hsa-miR-6814-5p"
"143042","ADAM28","hsa-miR-6793-3p"
"143043","ADAM28","hsa-miR-361-3p"
"143044","ADAM28","hsa-miR-345-3p"
"143045","ADAM28","hsa-miR-4732-3p"
"143046","ADAM28","hsa-miR-6072"
"143047","ADAM28","hsa-miR-5193"
"143048","ADAM28","hsa-miR-660-3p"
"143049","ADAM28","hsa-miR-877-3p"
"143050","ADAM28","hsa-miR-4324"
"143051","ADAM28","hsa-miR-544b"
"143052","ADAM28","hsa-miR-6748-3p"
"143053","ADAM28","hsa-miR-5699-3p"
"143054","ADAM28","hsa-miR-6734-3p"
"143055","ADAM28","hsa-miR-1237-3p"
"143056","ADAM28","hsa-miR-1248"
"143057","ADAM28","hsa-miR-6841-3p"
"143058","ADAM28","hsa-miR-5091"
"143059","ADAM28","hsa-miR-5739"
"143060","ADAM28","hsa-miR-1250-5p"
"143061","ADAM28","hsa-miR-6506-3p"
"143062","ADAM28","hsa-miR-138-1-3p"
"143063","ADAM28","hsa-miR-8067"
"143064","ADAM28","hsa-miR-628-3p"
"143065","ADAM28","hsa-miR-26a-1-3p"
"143066","ADAM28","hsa-miR-372-5p"
"143067","ADAM28","hsa-miR-342-3p"
"143068","ADAM28","hsa-miR-3664-3p"
"143069","ADAM28","hsa-miR-1266-5p"
"143070","ADAM28","hsa-miR-4797-3p"
"143071","ADAM28","hsa-miR-6758-3p"
"143072","ADAM28","hsa-miR-519d-5p"
"143073","ADAM28","hsa-miR-5695"
"143074","ADAM28","hsa-miR-766-3p"
"143075","ADAM28","hsa-miR-136-5p"
"143076","ADAM28","hsa-miR-3653-5p"
"143077","ADAM28","hsa-miR-1976"
"143078","ADAM28","hsa-miR-146a-3p"
"143079","ADAM28","hsa-miR-301a-5p"
"143080","ADAM28","hsa-miR-3921"
"143081","ADAM28","hsa-miR-6728-3p"
"143082","ADAM28","hsa-miR-518c-5p"
"143083","ADAM28","hsa-miR-6515-3p"
"143084","ADAM28","hsa-miR-1236-3p"
"143085","ADAM28","hsa-miR-130b-5p"
"143086","ADAM28","hsa-miR-4766-5p"
"143087","ADAM28","hsa-miR-6730-3p"
"143088","ADAM28","hsa-miR-3660"
"143089","ADAM28","hsa-miR-6719-3p"
"143090","ADAM28","hsa-miR-345-5p"
"143091","ADAM28","hsa-miR-4251"
"143092","ADAM28","hsa-miR-4649-3p"
"143093","ADAM28","hsa-miR-7162-3p"
"143094","ADAM28","hsa-miR-4682"
"143095","ADAM28","hsa-miR-4502"
"143096","ADAM28","hsa-miR-3920"
"143097","ADAM28","hsa-miR-4772-3p"
"143098","ADAM28","hsa-miR-2276-3p"
"143099","ADAM28","hsa-miR-3158-5p"
"143100","ADAM28","hsa-miR-1184"
"143101","ADAM28","hsa-miR-1205"
"143102","ADAM28","hsa-miR-17-3p"
"143103","ADAM28","hsa-miR-20a-3p"
"143104","ADAM28","hsa-miR-4769-3p"
"143105","ADAM28","hsa-miR-767-3p"
"143106","ADAM28","hsa-miR-875-3p"
"143107","ADAM28","hsa-miR-6128"
"143108","ADAM28","hsa-miR-4638-3p"
"143109","ADAM28","hsa-miR-378a-3p"
"143110","ADAM28","hsa-miR-378j"
"143111","ADAM28","hsa-miR-4794"
"143112","ADAM28","hsa-miR-4646-5p"
"143113","ADAM28","hsa-miR-4667-5p"
"143114","ADAM28","hsa-miR-6861-5p"
"143115","ADAM28","hsa-miR-6776-5p"
"143116","ADAM28","hsa-miR-4299"
"143117","ADAM28","hsa-miR-29b-1-5p"
"143118","ADAM28","hsa-miR-3137"
"143119","ADAM28","hsa-miR-4742-3p"
"143120","ADAM28","hsa-miR-215-3p"
"143121","ADAM28","hsa-miR-4679"
"143122","ADAM28","hsa-miR-6889-3p"
"143123","ADAM28","hsa-miR-7114-5p"
"143124","ADAM28","hsa-miR-134-3p"
"143125","ADAM28","hsa-miR-26b-3p"
"143126","ADAM28","hsa-miR-1267"
"143127","ADAM28","hsa-miR-367-5p"
"143128","ADAM28","hsa-miR-302a-5p"
"143129","ADAM28","hsa-miR-550b-3p"
"143130","ADAM28","hsa-miR-676-5p"
"143131","ADAM28","hsa-miR-6837-3p"
"143132","ADAM28","hsa-miR-942-5p"
"143133","ADAM28","hsa-miR-3182"
"143134","ADAM28","hsa-miR-4635"
"143135","ADAM28","hsa-miR-643"
"143136","ADAM28","hsa-miR-302d-5p"
"143137","ADAM28","hsa-miR-3124-3p"
"143138","ADAM28","hsa-miR-627-3p"
"143139","ADAM28","hsa-miR-570-3p"
"143140","ADAM28","hsa-miR-494-3p"
"143141","ADAM28","hsa-miR-5681a"
"143142","ADAM28","hsa-miR-6730-5p"
"143143","ADAM28","hsa-miR-4680-5p"
"143144","ADAM28","hsa-miR-7706"
"143145","ADAM28","hsa-miR-1252-5p"
"143146","ADAM28","hsa-miR-7515"
"143147","ADAM28","hsa-miR-5585-5p"
"143148","ADAM28","hsa-miR-4795-5p"
"143149","ADAM28","hsa-miR-15b-3p"
"143150","ADAM28","hsa-miR-4645-3p"
"143151","ADAM28","hsa-miR-3913-3p"
"143152","ADAM28","hsa-miR-4522"
"143153","ADAM28","hsa-miR-4513"
"143154","ADAM28","hsa-miR-6857-3p"
"143155","ADAM28","hsa-miR-5002-3p"
"143156","ADAM28","hsa-miR-539-5p"
"143157","ADAM28","hsa-miR-4693-3p"
"143158","ADAM28","hsa-miR-4708-5p"
"143159","ADAM28","hsa-miR-1273f"
"143160","ADAM28","hsa-miR-3670"
"143161","ADAM28","hsa-miR-3160-3p"
"143162","ADAM28","hsa-miR-558"
"143163","ADAM28","hsa-miR-4487"
"143164","ADAM28","hsa-miR-27b-5p"
"143165","ADAM28","hsa-miR-5004-5p"
"143166","ADAM28","hsa-miR-4751"
"143167","ADAM28","hsa-miR-3150b-3p"
"143168","ADAM28","hsa-miR-1185-5p"
"143169","ADAM28","hsa-miR-3605-5p"
"143170","ADAM28","hsa-miR-5008-5p"
"143171","ADAM28","hsa-miR-6089"
"143172","ADAM28","hsa-miR-3126-5p"
"143173","ADAM28","hsa-miR-6127"
"143174","ADAM28","hsa-miR-6804-5p"
"143175","ADAM28","hsa-miR-202-3p"
"143176","ADAM28","hsa-miR-7854-3p"
"143177","ADAM28","hsa-miR-6134"
"143178","ADAM28","hsa-miR-655-5p"
"143179","ADAM28","hsa-miR-377-5p"
"143180","ADAM28","hsa-miR-1911-5p"
"143181","ADAM28","hsa-miR-496.1"
"143182","ADAM28","hsa-miR-5702"
"143183","ADAM28","hsa-miR-4785"
"143184","ADAM28","hsa-miR-4765"
"143185","ADAM28","hsa-miR-4745-5p"
"143186","ADAM28","hsa-miR-219a-1-3p"
"143187","ADAM28","hsa-miR-571"
"143188","ADAM28","hsa-miR-3145-3p"
"143189","ADAM28","hsa-miR-4772-5p"
"143190","ADAM28","hsa-miR-4695-3p"
"143191","ADAM28","hsa-miR-3682-3p"
"143192","ADAM28","hsa-miR-3134"
"143193","ADAM28","hsa-miR-8069"
"143194","ADAM28","hsa-miR-509-3p"
"143195","ADAM28","hsa-miR-508-3p"
"143196","ADAM28","hsa-miR-4445-5p"
"143197","ADAM28","hsa-miR-548f-5p"
"143198","ADAM28","hsa-miR-4696"
"143199","ADAM28","hsa-miR-4708-3p"
"143200","ADAM28","hsa-miR-767-5p"
"143201","ADAM28","hsa-miR-3166"
"143202","ADAM28","hsa-miR-3665"
"143203","ADAM28","hsa-miR-6499-3p"
"143204","ADAM28","hsa-miR-5689"
"143205","ADAM28","hsa-miR-7112-3p"
"143206","ADAM28","hsa-miR-4711-5p"
"143207","ADAM28","hsa-miR-324-5p"
"143208","ADAM28","hsa-miR-5189-3p"
"143209","ADAM28","hsa-miR-4252"
"143210","ADAM28","hsa-miR-4641"
"143211","ADAM28","hsa-miR-4290"
"143212","ADAM28","hsa-miR-6791-3p"
"143213","ADAM28","hsa-miR-6811-3p"
"143214","ADAM28","hsa-miR-5581-5p"
"143215","ADAM28","hsa-miR-187-5p"
"143216","ADAM28","hsa-miR-548v"
"143217","ADAM28","hsa-miR-621"
"143218","ADAM28","hsa-miR-8086"
"143219","ADAM28","hsa-miR-31-3p"
"143220","ADAM28","hsa-miR-6502-5p"
"143221","ADAM28","hsa-miR-2115-5p"
"143222","ADAM28","hsa-miR-7162-5p"
"143223","ADAM28","hsa-miR-3160-5p"
"143224","ADAM28","hsa-miR-3140-3p"
"143225","ADAM28","hsa-miR-3148"
"143226","ADAM28","hsa-miR-4261"
"143227","ADAM28","hsa-miR-5093"
"143228","ADAM28","hsa-miR-6077"
"143229","ADAM28","hsa-miR-6828-5p"
"143230","ADAM28","hsa-miR-671-5p"
"143231","ADAM28","hsa-miR-4533"
"143232","ADAM28","hsa-miR-4740-5p"
"143233","ADAM28","hsa-miR-4434"
"143234","ADAM28","hsa-miR-6081"
"143235","ADAM28","hsa-miR-6500-5p"
"143236","ADAM28","hsa-miR-7154-3p"
"143237","ADAM28","hsa-miR-6894-5p"
"143238","ADAM28","hsa-miR-6797-5p"
"143239","ADAM28","hsa-miR-6851-5p"
"143240","ADAM28","hsa-miR-4653-3p"
"143241","ADAM28","hsa-miR-5191"
"143242","ADAM28","hsa-miR-4764-5p"
"143243","ADAM28","hsa-miR-4320"
"143244","ADAM28","hsa-miR-876-5p"
"143245","ADAM28","hsa-miR-1290"
"143246","ADAM28","hsa-miR-4736"
"143247","ADAM28","hsa-miR-1256"
"143248","ADAM28","hsa-miR-7155-3p"
"143249","ADAM28","hsa-miR-6735-3p"
"143250","ADAM28","hsa-miR-6069"
"143251","ADAM28","hsa-miR-4284"
"143252","ADAM28","hsa-miR-6822-3p"
"143253","ADAM28","hsa-miR-760"
"143254","ADAM28","hsa-miR-604"
"143255","ADAM28","hsa-miR-6762-3p"
"143256","ADAM28","hsa-miR-3119"
"143257","ADAM28","hsa-miR-4668-5p"
"143258","ADAM28","hsa-miR-3153"
"143259","ADAM28","hsa-miR-4747-5p"
"143260","ADAM28","hsa-miR-6716-5p"
"143261","ADAM28","hsa-miR-3649"
"143262","ADAM28","hsa-miR-6878-5p"
"143263","ADAM28","hsa-miR-6827-5p"
"143264","ADAM28","hsa-miR-6090"
"143265","ADAM28","hsa-miR-4300"
"143266","ADAM28","hsa-miR-7106-5p"
"143267","ADAM28","hsa-miR-6785-5p"
"143268","ADAM28","hsa-miR-6799-5p"
"143269","ADAM28","hsa-miR-4713-3p"
"143270","ADAM28","hsa-miR-638"
"143271","ADAM28","hsa-miR-6721-5p"
"143272","ADAM28","hsa-miR-3945"
"143273","ADAM28","hsa-miR-6862-5p"
"143274","ADAM28","hsa-miR-4437"
"143275","ADAM28","hsa-miR-27a-5p"
"143276","ADAM28","hsa-miR-4725-3p"
"143277","ADAM28","hsa-miR-3144-5p"
"143278","ADAM28","hsa-miR-3191-3p"
"143279","ADAM28","hsa-miR-4652-5p"
"143280","ADAM28","hsa-miR-6825-5p"
"143281","ADAM28","hsa-miR-4450"
"143282","ADAM28","hsa-miR-4283"
"143283","ADAM28","hsa-miR-4723-5p"
"143284","ADAM28","hsa-miR-6835-5p"
"143285","ADAM28","hsa-miR-6842-5p"
"143286","ADAM28","hsa-miR-4651"
"143287","ADAM28","hsa-miR-1293"
"143288","ADAM28","hsa-miR-6772-5p"
"143289","ADAM28","hsa-miR-4455"
"143290","ADAM28","hsa-miR-609"
"143291","ADAM28","hsa-miR-23a-5p"
"143292","ADAM28","hsa-miR-4650-3p"
"143293","ADAM28","hsa-miR-379-5p"
"143294","ADAM28","hsa-miR-4451"
"143295","ADAM28","hsa-miR-5681b"
"143296","ADAM28","hsa-miR-4792"
"143297","ADAM28","hsa-miR-4710"
"143298","ADAM28","hsa-miR-6880-5p"
"143299","ADAM28","hsa-miR-876-3p"
"143300","ADAM28","hsa-miR-3650"
"143301","ADAM28","hsa-miR-597-3p"
"143302","ADAM28","hsa-miR-299-5p"
"143303","ADAM28","hsa-miR-5087"
"143304","ADAM28","hsa-miR-8065"
"143305","ADAM28","hsa-miR-3713"
"143306","ADAM28","hsa-miR-496.2"
"143307","ADAM28","hsa-miR-630"
"143308","ADAM28","hsa-miR-616-3p"
"143309","ADAM28","hsa-miR-198"
"143310","ADAM28","hsa-miR-200c-5p"
