"name","selected","shared name","type"
"hsa-miR-6507-5p","false","hsa-miR-6507-5p","miRNA"
"hsa-miR-8087","false","hsa-miR-8087","miRNA"
"hsa-miR-3156-5p","false","hsa-miR-3156-5p","miRNA"
"hsa-miR-99a-3p","false","hsa-miR-99a-3p","miRNA"
"hsa-miR-6796-3p","false","hsa-miR-6796-3p","miRNA"
"hsa-miR-320e","false","hsa-miR-320e","miRNA"
"hsa-miR-651-3p","false","hsa-miR-651-3p","miRNA"
"hsa-miR-4428","false","hsa-miR-4428","miRNA"
"hsa-miR-3173-3p","false","hsa-miR-3173-3p","miRNA"
"hsa-miR-541-5p","false","hsa-miR-541-5p","miRNA"
"hsa-miR-4753-5p","false","hsa-miR-4753-5p","miRNA"
"hsa-miR-548ba","false","hsa-miR-548ba","miRNA"
"hsa-miR-562","false","hsa-miR-562","miRNA"
"hsa-miR-3184-3p","false","hsa-miR-3184-3p","miRNA"
"hsa-miR-1264","false","hsa-miR-1264","miRNA"
"hsa-miR-595","false","hsa-miR-595","miRNA"
"hsa-miR-495-5p","false","hsa-miR-495-5p","miRNA"
"hsa-miR-382-5p","false","hsa-miR-382-5p","miRNA"
"hsa-miR-1277-5p","false","hsa-miR-1277-5p","miRNA"
"hsa-miR-4517","false","hsa-miR-4517","miRNA"
"hsa-miR-5583-3p","false","hsa-miR-5583-3p","miRNA"
"hsa-miR-34b-3p","false","hsa-miR-34b-3p","miRNA"
"hsa-miR-500a-5p","false","hsa-miR-500a-5p","miRNA"
"hsa-miR-580-5p","false","hsa-miR-580-5p","miRNA"
"hsa-miR-5197-5p","false","hsa-miR-5197-5p","miRNA"
"hsa-miR-4506","false","hsa-miR-4506","miRNA"
"hsa-miR-513b-3p","false","hsa-miR-513b-3p","miRNA"
"hsa-miR-8066","false","hsa-miR-8066","miRNA"
"hsa-miR-409-3p","false","hsa-miR-409-3p","miRNA"
"hsa-miR-33a-3p","false","hsa-miR-33a-3p","miRNA"
"hsa-miR-944","false","hsa-miR-944","miRNA"
"hsa-miR-4760-3p","false","hsa-miR-4760-3p","miRNA"
"hsa-miR-302f","false","hsa-miR-302f","miRNA"
"hsa-miR-32-3p","false","hsa-miR-32-3p","miRNA"
"hsa-miR-590-3p","false","hsa-miR-590-3p","miRNA"
"hsa-miR-3529-3p","false","hsa-miR-3529-3p","miRNA"
"hsa-miR-624-3p","false","hsa-miR-624-3p","miRNA"
"hsa-miR-338-5p","false","hsa-miR-338-5p","miRNA"
"hsa-miR-7849-3p","false","hsa-miR-7849-3p","miRNA"
"hsa-miR-4789-3p","false","hsa-miR-4789-3p","miRNA"
"hsa-miR-4643","false","hsa-miR-4643","miRNA"
"hsa-miR-5683","false","hsa-miR-5683","miRNA"
"hsa-miR-552-3p","false","hsa-miR-552-3p","miRNA"
"hsa-miR-5580-3p","false","hsa-miR-5580-3p","miRNA"
"hsa-miR-499b-3p","false","hsa-miR-499b-3p","miRNA"
"hsa-miR-4802-3p","false","hsa-miR-4802-3p","miRNA"
"hsa-miR-942-3p","false","hsa-miR-942-3p","miRNA"
"hsa-miR-323a-3p","false","hsa-miR-323a-3p","miRNA"
"hsa-miR-1255b-2-3p","false","hsa-miR-1255b-2-3p","miRNA"
"hsa-miR-634","false","hsa-miR-634","miRNA"
"hsa-miR-1295b-5p","false","hsa-miR-1295b-5p","miRNA"
"hsa-miR-3130-5p","false","hsa-miR-3130-5p","miRNA"
"hsa-miR-660-5p","false","hsa-miR-660-5p","miRNA"
"hsa-miR-574-3p","false","hsa-miR-574-3p","miRNA"
"hsa-miR-4637","false","hsa-miR-4637","miRNA"
"hsa-miR-4661-5p","false","hsa-miR-4661-5p","miRNA"
"hsa-miR-3923","false","hsa-miR-3923","miRNA"
"hsa-miR-510-5p","false","hsa-miR-510-5p","miRNA"
"hsa-miR-508-5p","false","hsa-miR-508-5p","miRNA"
"hsa-miR-514a-5p","false","hsa-miR-514a-5p","miRNA"
"hsa-miR-888-3p","false","hsa-miR-888-3p","miRNA"
"hsa-miR-4418","false","hsa-miR-4418","miRNA"
"hsa-miR-1243","false","hsa-miR-1243","miRNA"
"hsa-miR-892b","false","hsa-miR-892b","miRNA"
"hsa-miR-1183","false","hsa-miR-1183","miRNA"
"hsa-miR-4318","false","hsa-miR-4318","miRNA"
"hsa-miR-892a","false","hsa-miR-892a","miRNA"
"hsa-miR-452-5p","false","hsa-miR-452-5p","miRNA"
"hsa-miR-5003-3p","false","hsa-miR-5003-3p","miRNA"
"hsa-miR-5680","false","hsa-miR-5680","miRNA"
"hsa-miR-5197-3p","false","hsa-miR-5197-3p","miRNA"
"hsa-miR-3154","false","hsa-miR-3154","miRNA"
"hsa-miR-3925-5p","false","hsa-miR-3925-5p","miRNA"
"hsa-miR-3123","false","hsa-miR-3123","miRNA"
"hsa-miR-577","false","hsa-miR-577","miRNA"
"hsa-miR-576-3p","false","hsa-miR-576-3p","miRNA"
"hsa-miR-548p","false","hsa-miR-548p","miRNA"
"hsa-miR-451b","false","hsa-miR-451b","miRNA"
"hsa-miR-3942-5p","false","hsa-miR-3942-5p","miRNA"
"hsa-miR-3908","false","hsa-miR-3908","miRNA"
"hsa-miR-4274","false","hsa-miR-4274","miRNA"
"hsa-miR-4519","false","hsa-miR-4519","miRNA"
"hsa-miR-6858-3p","false","hsa-miR-6858-3p","miRNA"
