"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADAM15",-0.829161376681463,7.56711536232059,-6.34212585852717,1.63571039950426e-06,0.000529660059726884,5.25769840876771
"GTF2F1",-1.09993009200347,8.02938292309609,-6.34088731002149,1.64055771313759e-06,0.000529660059726884,5.25490505726204
"PXDC1",-0.611538844070089,10.1787028782184,-6.32850727342875,1.68982229532105e-06,0.000532575660075352,5.22697314115567
"SETX",0.513586761704109,9.67482783689404,6.31503545323591,1.74514851084155e-06,0.000537221647395572,5.19655591122287
"JAK2",0.763857769542127,6.69369830936463,6.294513299452,1.83300320848266e-06,0.000546679312723255,5.15017622268149
"HMGN4",0.434920437320776,10.8354028747697,6.28875170949286,1.85847012710935e-06,0.000546679312723255,5.13714563713715
"TOX4",-0.613241572268952,8.11248262972472,-6.26150246450492,1.98389333834438e-06,0.000570886872166621,5.07546179686711
"ANKRD12",0.729580543102996,9.23612434610528,6.25102034621748,2.03440979622678e-06,0.000571250548261661,5.05170896072831
"GVINP1",0.630575312458433,6.87778641801663,6.23776357555441,2.10018140896576e-06,0.000571250548261661,5.02164921794789
"SMAD3",-0.586786326819078,7.36083346365537,-6.22232185168893,2.17953297598679e-06,0.000571250548261661,4.98660781289224
"RAB35",-0.744952941112404,5.78149888779197,-6.22121587118152,2.18533232708839e-06,0.000571250548261661,4.98409692402562
"GIMAP4",0.949623916576619,10.4578801389548,6.21237524238571,2.2322583256947e-06,0.000571250548261661,4.96402081234418
"ATXN7L3B",-0.648219359646028,6.54641907412481,-6.21017598137896,2.24409069348088e-06,0.000571250548261661,4.95902504454973
"SPTBN1",-1.24848624812951,7.31821023759424,-6.16237365949703,2.51768675177957e-06,0.000628804142137851,4.85029373157998
"CXCL13",4.22239711772747,8.15521801810204,6.13968300949918,2.65922593114395e-06,0.000651855067602824,4.79858515002532
"PSMB9",1.30822804642789,10.313940084995,6.11654969795329,2.81188258315982e-06,0.000659559512313108,4.74580463200455
"VOPP1",0.97959095531209,11.3996594387676,6.11373296338925,2.83107008159991e-06,0.000659559512313108,4.73937369332542
"CDC42EP2",-0.601573474774893,9.37390859012543,-6.11240870678101,2.8401369042719e-06,0.000659559512313108,4.73634993472726
"GGH",0.826481281080901,6.16297039883328,6.10346810656932,2.90212957525141e-06,0.000662336020475913,4.71592988666533
"ZNF652",0.73209266747363,7.48633714512798,6.07008049552203,3.14607398906237e-06,0.000701284352196766,4.63959074427736
"TRRAP",0.581373791399179,8.88406970194642,6.06581021316726,3.17874602491546e-06,0.000701284352196766,4.62981757424594
"TGFBR2",-1.37271960715201,7.34360282911315,-6.03010664748578,3.46579828071963e-06,0.000752078226916161,4.54802225077757
"BHLHE41",1.52604830156001,9.22900114221452,6.0164121057057,3.58278305007659e-06,0.000764924181191351,4.51660983872592
"VARS",-0.568701255606833,8.5736234516627,-5.9936523827279,3.7861698268674e-06,0.00077618794891545,4.46435665798827
"FUT4",0.609087194440281,8.589498373591,5.9936443914875,3.78624326476906e-06,0.00077618794891545,4.46433830091799
"IRF9",0.430675090316176,10.5096278089067,5.98252141568043,3.88987940103065e-06,0.00077618794891545,4.4387802010639
"SS18",0.63191799147038,7.60665671260049,5.97599358989782,3.95204060331989e-06,0.00077618794891545,4.42377425652474
"PRPF6",-0.762665100685587,7.24357520297827,-5.97335969376667,3.97740718419138e-06,0.00077618794891545,4.41771819485919
"STX7",0.34679994787549,7.95159526006364,5.96980769193356,4.01187843738699e-06,0.00077618794891545,4.40954992465844
"AL590762.11",-0.285133549990572,7.77282245876113,-5.96632166089541,4.04600502192083e-06,0.00077618794891545,4.40153199373887
"TUBGCP2",-0.558533916300625,6.04220212938755,-5.92762119680569,4.44530391229469e-06,0.000840606969814926,4.31242978574194
"INSIG2",0.896743038729843,8.26595660669622,5.91844361159838,4.54573802470282e-06,0.00084749203145058,4.29127555916617
"PTPN7",0.885771522843975,8.07669207376468,5.90773552238393,4.665842950418e-06,0.000857802265759488,4.26658193042969
"AKT2",-0.918077319583565,6.41762725505446,-5.8958366759518,4.80309437060382e-06,0.000870119104878631,4.23912773669993
"SAMD9",0.676897275547364,7.28664182476014,5.89064109267239,4.86430564032777e-06,0.000870119104878631,4.22713517654293
"PLEKHM2",-0.473646370773753,9.47356344238474,-5.87732902865623,5.0247855620254e-06,0.000884054839812389,4.19639473236208
"TSR1",-0.895595001986473,9.34213423290978,-5.87318890527964,5.07578513452758e-06,0.000884054839812389,4.1868304192224
"BEGAIN",-0.972198219580749,8.48397644074776,-5.86684046953563,5.1550116846156e-06,0.000886193372328009,4.17216101676663
"LOC102724250",-1.33461089214142,9.07019410520866,-5.85427798056182,5.31551316078928e-06,0.000902069842427791,4.1431201031361
"IGFBP5",-1.19584300537809,8.57281623950445,-5.82599127098811,5.69576524312855e-06,0.000954365120548008,4.07766830715079
"BCL2L2",-0.320974972374821,11.4543427759256,-5.82037262862636,5.77452708502288e-06,0.000955467687805599,4.06465752497522
"EPN2",-0.494617668624468,7.31855769511892,-5.81054227742881,5.91500056242158e-06,0.000966627931416969,4.04188603187952
"SFSWAP",-0.754416994656891,7.75130832835251,-5.77007119987067,6.53087456906367e-06,0.00105425837403288,3.94803220922132
